feature,coefficient,odds_ratio,absolute_coefficient
category_Footwear,0.4638079224254336,1.5901175151898332,0.4638079224254336
category_Books,-0.36808157483388526,0.6920607246473732,0.36808157483388526
category_Beauty,-0.35412200250486126,0.7017893420746328,0.35412200250486126
category_Fashion,0.35238788283430267,1.4224601646059756,0.35238788283430267
customer_return_rate,0.33580597538521567,1.3990675449334298,0.33580597538521567
payment_type_Wallet,-0.3083824227672182,0.7346343233922786,0.3083824227672182
category_Electronics,-0.30359642834963985,0.7381587062740129,0.30359642834963985
category_Sports,-0.3006297232316172,0.7403518570931538,0.3006297232316172
category_Home & Kitchen,-0.29927162791474393,0.741358008553256,0.29927162791474393
discount_bucket_Low,-0.2886141643299383,0.7493012567884069,0.2886141643299383
price_bucket_Budget,-0.23788564007531085,0.7882928350484933,0.23788564007531085
price_bucket_Luxury,-0.23228920666520084,0.7927168311606848,0.23228920666520084
price_bucket_Mid,-0.19762224636493353,0.820679809371814,0.19762224636493353
payment_type_UPI,-0.19715117294242004,0.8210665008913004,0.19715117294242004
discount_bucket_Medium,-0.194980583915901,0.8228506344380376,0.194980583915901
payment_type_Debit Card,-0.19294538682044307,0.8245270029507754,0.19294538682044307
product_historical_return_rate,0.18154413322833757,1.199067454259745,0.18154413322833757
discount_bucket_Very High,-0.16960113473192498,0.8440013923093396,0.16960113473192498
payment_type_Credit Card,-0.1686897819620562,0.8447709259210259,0.1686897819620562
discount_bucket_High,-0.15630966859724565,0.8552942915742119,0.15630966859724565
product_rating,-0.1505873551829593,0.8602025835711757,0.1505873551829593
price_bucket_Premium,-0.1417084584695651,0.8678742409908208,0.1417084584695651
discount_pct,0.09989274362423275,1.1050523878050487,0.09989274362423275
delivery_distance_km,0.09643630740636076,1.101239438113991,0.09643630740636076
customer_previous_returns,0.0692994291416633,1.0717570764089053,0.0692994291416633
quantity,0.0651889428040237,1.0673606754522582,0.0651889428040237
payment_type_COD,0.05766321291712702,1.0593581574808315,0.05766321291712702
customer_previous_orders,-0.031112992555662678,0.9693660357419398,0.031112992555662678
expected_delivery_days,-0.02600435375184192,0.9743308476047926,0.02600435375184192
product_price,0.019858811699522895,1.0200573097013506,0.019858811699522895
order_month,-0.01890130185369216,0.9812762076062052,0.01890130185369216
order_day_of_week,-0.006306390740955553,0.9937134528055014,0.006306390740955553
customer_age,0.005163373925517488,1.005176727113273,0.005163373925517488
