model,validation_best_threshold,validation_net_benefit,validation_precision,validation_recall,validation_f1,test_frozen_threshold,test_net_benefit,test_precision,test_recall,test_f1,test_roc_auc,test_pr_auc,test_log_loss,test_brier_score
logistic_regression,0.21,72519.99999999997,0.3157894736842105,0.6568047337278107,0.4265129682997118,0.21,233760.0,0.3236268939393939,0.6177135110709444,0.42473201802081717,0.6723822380923725,0.3609586243839479,0.4971725041419196,0.16133439364397084
xgboost,0.52,71060.0,0.3274336283185841,0.6020710059171598,0.42417926003126627,0.52,222940.0,0.3310435931307794,0.5661997288748305,0.41780593531177057,0.6612422676490897,0.3521848288058862,0.6421642394348965,0.22547784036468155
